org,file_,URL,File,Lines_of_code,Require,Ensure,Include,Attribute,Hard_coded_string,Comment,Command,File_mode,SSH_KEY,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-ssh/manifests/server/service.pp,0,0,9,1,1,2,5,1,0,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/zabbix/server.pp,0,1,78,3,4,7,20,25,18,1,1,1,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/puppet/manifests/params.pp,0,0,89,0,0,0,0,22,49,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/manifests/site.pp,0,2,188,1,2,6,28,15,6,0,2,2,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/slave/custom_scripts.pp,0,1,69,3,2,5,13,11,9,0,2,2,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/conf.pp,0,3,46,0,3,3,9,8,0,0,2,2,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/test_file.pp,0,1,29,0,0,0,1,5,15,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-vxlan-vlan-7/deployment_scripts/configure-ml2-controller.pp,0,0,57,0,3,4,17,9,0,0,0,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/devops_tools/lpupdatebug.pp,0,3,90,4,3,7,23,26,24,0,3,3,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/controller.pp,2,0,315,0,0,0,104,42,65,0,0,0,1
